jurisdiction,speeches,speakers,years_observed,mean_hawkishness,median_hawkishness,mean_mixedness,mean_signal_strength,central_bank,years_with_3plus_speeches,annual_tone_sd,annual_tone_range,bootstrap_ci_lower,bootstrap_ci_upper
Czechia,61,9,23,0.46972401,0.47889642,0.82134333,0.47646659,Czech National Bank,8,0.06056069,0.18370083,0.44360491,0.49767431
Malta,58,4,23,0.42777697,0.41696867,0.77347287,0.57481942,Central Bank of Malta,12,0.06443816,0.17550713,0.39555307,0.45818861
Barbados,57,9,21,0.42362352,0.41058332,0.67267853,0.52220674,Central Bank of Barbados,12,0.07500567,0.27307614,0.37478778,0.46920054
Romania,56,6,19,0.47956225,0.48434859,0.80217806,0.53129589,National Bank of Romania,8,0.05438377,0.16304553,0.44519806,0.51130234
Indonesia,53,12,22,0.44201513,0.45264411,0.78714618,0.58287505,Bank Indonesia,7,0.04151088,0.12810286,0.40924105,0.47693320
Sri Lanka,52,11,15,0.46495164,0.48594027,0.75497905,0.50490707,Central Bank of Sri Lanka,7,0.06373057,0.16737837,0.42527480,0.50353078
Papua New Guinea,42,7,18,0.41782313,0.43188969,0.73631815,0.53938938,Bank of Papua New Guinea,7,0.09776614,0.28094741,0.37372875,0.46007106
Botswana,41,3,19,0.38804241,0.38184731,0.69667077,0.52262454,Bank of Botswana,4,0.07604332,0.17911325,0.34671485,0.42873590
Ghana,40,9,12,0.40990785,0.41652075,0.70274625,0.53951159,Bank of Ghana,5,0.03058169,0.07301689,0.35845807,0.46426231
Russia,38,4,9,0.49440673,0.49211514,0.80650478,0.60360936,Bank of Russia,5,0.06683223,0.17287813,0.45657116,0.53256623
Bulgaria,38,5,13,0.43030621,0.43820897,0.76263937,0.51067000,Bulgarian National Bank,7,0.10091920,0.31692798,0.38963394,0.47144908
Luxembourg,37,2,11,0.44321680,0.43596876,0.78151789,0.49295211,Central Bank of Luxembourg,5,0.05048435,0.12909759,0.40233649,0.48277781
Belgium,35,4,16,0.45039878,0.45665799,0.79076823,0.49588998,National Bank of Belgium,5,0.03661231,0.09614268,0.40981940,0.49166217
Ukraine,35,5,8,0.49301894,0.49607720,0.81498138,0.62642734,National Bank of Ukraine,5,0.10410482,0.28134612,0.45352580,0.52816454
Argentina,31,6,9,0.49820913,0.51153100,0.88522340,0.48750844,Central Bank of Argentina,3,0.01822326,0.03357047,0.47142479,0.52052391
Nigeria,28,7,13,0.39916549,0.39901771,0.72039539,0.58475794,Central Bank of Nigeria,4,0.11437648,0.26675624,0.35467098,0.44888428
Jamaica,25,3,9,0.46328107,0.45353344,0.73051710,0.57379910,Bank of Jamaica,5,0.14596527,0.33524523,0.40341245,0.52478526
Estonia,19,5,15,0.47724295,0.46771617,0.75027644,0.53725634,Bank of Estonia,1,,0.00000000,0.41211589,0.55026894
Lithuania,19,4,6,0.35214609,0.37202769,0.64456758,0.52801288,Bank of Lithuania,4,0.13383699,0.30085077,0.28963161,0.41953015
Namibia,18,6,12,0.49365668,0.46498931,0.71360797,0.57616986,Bank of Namibia,1,,0.00000000,0.41771458,0.58619364
Kosovo,18,2,6,0.37459592,0.36967100,0.63569060,0.62636394,Central Bank of the Republic of Kosovo,4,0.08934027,0.19725046,0.29309545,0.46204758
Poland,17,3,3,0.50705117,0.51011222,0.85913246,0.54111314,National Bank of Poland,2,0.01810483,0.02560409,0.46641888,0.54849152
Saudi Arabia,16,5,9,0.42969394,0.43821636,0.71031377,0.62549506,Saudi Arabian Monetary Agency,1,,0.00000000,0.35233275,0.50724715
Cyprus,15,4,6,0.41622701,0.45598182,0.73532362,0.48221950,Central Bank of Cyprus,2,0.01405048,0.01987038,0.34192767,0.48317312
Slovenia,15,5,6,0.42303368,0.33797216,0.66487191,0.57558221,Bank of Slovenia,2,0.13820497,0.19545135,0.34422875,0.51491737
Croatia,13,4,8,0.52728713,0.52690841,0.84332074,0.57432145,Croatian National Bank,1,,0.00000000,0.47576484,0.57520541
Bahrain,12,2,5,0.37973727,0.33605983,0.67273151,0.44440235,Central Bank of Bahrain,2,0.03596212,0.05085812,0.30624728,0.46092531
Bosnia and Herzegovina,12,4,8,0.33897420,0.34728683,0.67053602,0.34917019,Central Bank of Bosnia and Herzegovina,0,,,0.26574581,0.40548308
Colombia,11,5,5,0.52924430,0.52949413,0.82542117,0.61474064,Central Bank of Colombia,1,,0.00000000,0.44368170,0.59081719
Brazil,10,5,7,0.52131770,0.54162414,0.74867646,0.48823227,Central Bank of Brazil,1,,0.00000000,0.41935875,0.61488220
The Bahamas,10,2,5,0.38306585,0.36738471,0.71339871,0.46329549,Central Bank of The Bahamas,1,,0.00000000,0.31126186,0.45950693
Malawi,10,5,7,0.47425589,0.47035389,0.72086560,0.56141891,Reserve Bank of Malawi,1,,0.00000000,0.35336728,0.57335426
Latvia,10,4,9,0.38369481,0.38003405,0.73193722,0.52609248,Bank of Latvia,0,,,0.33216164,0.44133647
Nepal,10,3,5,0.34866357,0.31416435,0.68213151,0.55701985,Central Bank of Nepal,2,0.00007567,0.00010702,0.27883660,0.41978883
Hungary,9,4,6,0.51362616,0.47255332,0.83769364,0.53310283,Magyar Nemzeti Bank,1,,0.00000000,0.45197985,0.57249908
Solomon Islands,8,4,6,0.43208490,0.44096697,0.72471316,0.56062493,Central Bank of Solomon Islands,0,,,0.31519973,0.55156539
Seychelles,7,1,4,0.32483124,0.25440612,0.48867370,0.47842306,Central Bank of Seychelles,1,,0.00000000,0.21606284,0.48607991
Algeria,6,3,4,0.50176052,0.55246953,0.80028146,0.56606920,Bank of Algeria,0,,,0.38290001,0.58412995
Eswatini,6,2,2,0.45054875,0.45874992,0.68142257,0.56364304,Central Bank of Eswatini,1,,0.00000000,0.28538278,0.59510860
Slovakia,5,5,4,0.44072314,0.44778366,0.80866066,0.51163220,National Bank of Slovakia,0,,,0.34677431,0.52654287
United Arab Emirates,4,1,3,0.53783425,0.54330294,0.85258145,0.65709756,Central Bank of the United Arab Emirates,0,,,0.46408293,0.60611687
Morocco,4,1,3,0.29365402,0.27101225,0.52637020,0.42857391,Bank of Morocco,0,,,0.12437681,0.48557301
Sierra Leone,4,3,4,0.37236918,0.34097278,0.53324427,0.59852377,Bank of Sierra Leone,0,,,0.16372386,0.61241089
Kuwait,4,2,4,0.41194260,0.34924342,0.65021429,0.63726964,Central Bank of Kuwait,0,,,0.29908189,0.58750249
Mozambique,3,2,2,0.48650393,0.48069122,0.85244214,0.39231127,Bank of Mozambique,0,,,0.38839629,0.55384660
Maldives,3,2,2,0.38811555,0.43173892,0.61533480,0.46528685,Maldives Monetary Authority,0,,,0.11193551,0.55769445
Liberia,2,1,1,0.35481030,0.35481030,0.70962060,0.58754576,Central Bank of Liberia,0,,,0.32003714,0.38958346
Cambodia,2,2,2,0.36112754,0.36112754,0.72225509,0.52129875,National Bank of Cambodia,0,,,0.28050143,0.44175366
Vanuatu,1,1,1,0.37929120,0.37929120,0.75858240,0.47390591,Reserve Bank of Vanuatu,0,,,0.37929120,0.37929120
Uruguay,1,1,1,0.29318411,0.29318411,0.58636822,0.45969381,Central Bank of Uruguay,0,,,0.29318411,0.29318411
Guyana,1,1,1,0.74246858,0.74246858,0.51506285,0.44754093,Bank of Guyana,0,,,0.74246858,0.74246858
Guatemala,1,1,1,0.48759719,0.48759719,0.97519438,0.65134369,Bank of Guatemala,0,,,0.48759719,0.48759719
Samoa,1,1,1,0.23134553,0.23134553,0.46269106,0.65245984,Central Bank of Samoa,0,,,0.23134553,0.23134553
Jordan,1,1,1,0.49340692,0.49340692,0.98681385,0.23010659,Central Bank of Jordan,0,,,0.49340692,0.49340692
Kazakhstan,1,1,1,0.44565777,0.44565777,0.89131554,0.63524574,National Bank of Kazakhstan,0,,,0.44565777,0.44565777
Tanzania,1,1,1,0.56818410,0.56818410,0.86363181,0.64827103,Bank of Tanzania,0,,,0.56818410,0.56818410
Bolivia,1,1,1,0.44526160,0.44526160,0.89052320,0.28653975,Central Bank of Bolivia,0,,,0.44526160,0.44526160
The Gambia,1,1,1,0.34712645,0.34712645,0.69425291,0.58303004,Central Bank of The Gambia,0,,,0.34712645,0.34712645
